name,free_games
"Kitten Adventures in City Park",1
"Redfoot Bluefoot Dancing",1
"Caliban Below",1
HereAfter,1
NOKBAK,1
"Agents of Aggro City Online",1
"Robot King Part I: Rebooted and Ready",1
"FlyingRock: Arena",1
"Visual Novel Engine",1
"Drunken Wrestlers 2",1
IKAROS,1
"Dead Horizon",1
"Mahjong Magic Islands",1
"Fare Thee Well",1
"Dark Descent: The Blue Rose",1
"VR Triber",1
"Data Thief",1
"MermaidVR Video Player",1
"Lost Items",1
"Head Goal: Soccer Online",1
TurnSignal,1
"Fog Of War - Free Edition",1
"Containment Corps",1
"Necromancer Accountant",1
"Loot'N Shoot",1
"Beyond the Void",1
"Shooty Skies",1
"Just Fishing",1
Astroe,1
"Octopus Bar",1
Cognizer,1
"Google Spotlight Stories: Sonaria",1
Metonymy,1
Thirdmage,1
Time,1
"Seat of War",1
"Loot Box Simulator",1
"Uncharted Waters Online",1
"Bike Dash Excite!",1
"Mojo: Hanako",1
"Short Life",1
"Endless Battle",1
Margonem,1
KOPICS,1
"Nutrients for Life",1
"Cube Escape: Paradox",1
"Dawn of the Breakers",1
"Galactic Lander",1
"Project Reset",1
"Trigger Finger",1
"What would people say?",1
"Sniper 3D Assassin: Free to Play",1
"Zenith Hunter",1
"Game Builder",1
"Pushing Through...",1
Mythical,1
FrostRunner,1
"Warplanes: WW2 Dogfight",1
"Halzae: Heroes of Divinity",1
"Sacred Saga Online",1
"The Perfectionist",1
"The Cup",1
"Marble Combat",1
"Refill your Roguelike",1
"Not Heaven",1
"White Dove 白雀",1
"Self-knowledge VR",1
"HOT FIT!",1
"Shakes and Fidget Remastered",1
"Undress Tournament",1
"VR INTERACTIVE TRAILER: Runes",1
"The Art Theft by Jay Doherty",1
"The Great Emu War",1
Corma,1
"Rebel Forces",1
"Crome: Before Purgatory",1
"SYNTHETIK: Arena",1
"WarZone Flashpoint",1
"Darkness and Flame: The Dark Side f2p",1
Intrepid,1
"Coffee VendoR",1
Becalm,1
"Temple of Pizza",1
"Flowers in Dark",1
"Aetheria Online",1
"Arena of Shaelo",1
"By Moonlight",1
"【SCP】器関ノ彷徨 -The will of a single Tale- 第１部",1
"Clown Thug Cop Zombies",1
"Real Al's Humanity Academy",1
"Trash Time",1
JermaSlots,1
"Song Animals",1
"Future Futures - Command Z",1
ESKO,1
"In the Pause Between the Ringing",1
"Burning Daylight",1
"Sin Slayers: The First Sin",1
"War Planet Online: Global Conquest",1
"Audio Factory",1
"Morgan lives in a Rocket House in VR",1
"Merper VR",1
"Islands of Nyne: Battle Royale",1
Flightless,1
"World Warfare",1
"Time Killers: CatchOut",1
"Journey to Luonto",1
"Kokoda VR",1
"Nonogram - Master's Legacy",1
"Dream Channel",1
"Alpha Locus VR",1
"Scions of Fate",1
"Google Spotlight Stories: On Ice",1
"Lucky Night VR",1
"Aurora Trail",1
"Ship Ahoy Open BETA",1
"Downtown Casino Poker Leagues : Texas Hold'em Poker Tournaments",1
"White Pearl",1
"Realm Revolutions",1
D.R.I.L.L.,1
"FIRST STEAM GAME VHS - COLOR RETRO RACER : MILES CHALLENGE",1
"Doodle God: Mighty Trio",1
"Subscribe & Punch!",1
"Blush Blush",1
公主的逃脱日常,1
"OH MY GOD, LOOK AT THIS KNIGHT",1
"CONFLICT OF NATIONS: WORLD WAR 3",1
"Dungeons Forever",1
"4D Minesweeper",1
"Crypt- The Black Tower",1
BombTag,1
"LET IT DIE",1
"International Space Station Tour VR",1
"My Free Farm 2",1
"Hellbound: Survival Mode",1
PICNIC,1
"Robo Boop",1
"Colour Box",1
"Realm Royale",1
"The Flood",1
"Solitaire Knights",1
"Animal Jam - Play Wild!",1
"Dragon Awaken",1
"FlickSync - Mad Hatter VR",1
MazeBot,1
"Cross Country Skiing VR",1
"TapSonic World Champion VR",1
"Drift 4000",1
"Semi-Sweet Tofu",1
"Rogue Agent",1
"Virtual Reality Experiment Framework",1
"best game eu",1
"King Rabbit",1
"Ahlman Arcade 2018",1
"Turbo Tunnel",1
Kidz,1
DiveReal,1
Chase,1
EggFight,1
"Volcano Eruption",1
"Crimson Light",1
"XXX Puzzle",1
Scorch,1
"Time Drifter",1
"Let's Go There And Wander Nowhere",1
"Age of Fear: The Free World",1
"Team Fortress 2",1
"Company of Heroes - Legacy Edition",1
"DOOM 3",1
"America's Army 3",1
"DC Universe™ Online",1
Altitude,1
"Winter Voices",1
"Data Jammers: FastForward",1
"Geneforge 5: Overthrow",1
"Gotham City Impostors Free to Play",1
"Star Conflict",1
WAKFU,1
"Dogs of War Online",1
Defiance,1
Warframe,1
Elsword,1
"Wizardry 6: Bane of the Cosmic Forge",1
"CABAL Online",1
"Get Off My Lawn!",1
"Fistful of Frags",1
"EVGA Precision XOC",1
"Easy™ eSports",1
Onigiri,1
"Galcon 2: Galactic Conquest",1
"Red Crucible®: Firestorm",1
"Floating Point",1
"Battle Islands",1
"Simply Chess",1
"Magic Duels",1
"AX:EL - Air XenoDawn",1
"Warspear Online",1
"Everlasting Summer",1
"Magic Barrage - Bitferno",1
Karos,1
"VEGA Conflict",1
HitBox,1
"Firefly Online Cortex",1
Racecraft,1
MyDream,1
"Clean'Em Up",1
"Time of Dragons",1
Survarium,1
"Rumble Fighter: Unleashed",1
404Sight,1
"Shadow Hunter",1
"Force of Elements",1
"Tree of Savior (English Ver.)",1
"Letter Quest: Grimm's Journey Remastered",1
"Big Fish Legend",1
"The Secret of Tremendous Corporation",1
"8Bit Fiesta",1
"Астролорды: Облако Оорта",1
"Shadow of Kingdoms",1
Pluto,1
Uebergame,1
"Atom Universe",1
"Sphere III: Rage of the Devastator",1
Absent,1
Tabletopia,1
"Godot Engine",1
"Dr. Langeskov, The Tiger, and The Terribly Cursed Emerald: A Whirlwind Heist",1
"Master of Orion 3",1
"Metal War Online: Retribution",1
CLASH,1
Retaliation,1
"Metaverse Construction Kit",1
"Project CARS - Pagani Edition",1
"Clash of the Monsters",1
"Mathoria: It All Adds Up",1
Spacelords,1
"Party Jousting",1
Midair,1
"UFO Online: Invasion",1
"Bloons TD Battles",1
"The Huntsman: Winter's Curse",1
"The Divergent Series: Allegiant VR",1
Jacob,1
Spellstone,1
LuckCatchers,1
"High Octane Drift",1
Palinurus,1
"Temple of Rust",1
"Forge of Gods (RPG)",1
"One Tower",1
"Sketchfab VR",1
"Vintage VR",1
"NVIDIA® VR Funhouse",1
"Rexodus: A VR Story Experience",1
"DIVE: Starpath",1
Doodler,1
"Campaign Clicker",1
"The Infinite Black",1
"RPG World - Action RPG Maker",1
"Ping Pong League",1
"Trick & Treat",1
"Wake Up",1
"VirZOOM Gamepad Emulator",1
Battlerite,1
"Scrap Garden - The Day Before",1
"Xecryst Remains",1
ONRAID,1
"Drop Alive",1
"Orake 2D MMORPG",1
INTERSHELTER,1
"Command Ops 2",1
"Techwars: Global Conflict",1
"Doorways: Old Prototype",1
"東周列萌志 Philosophic Love",1
"bob's game",1
"Solitaire Royale",1
"Eternal Card Game",1
"Zombie Defense",1
"Please State Your Name : A VR Animated Film",1
"The Last Journey",1
Racecar.io,1
"Therian Saga",1
"Last Days",1
"Darwin Project",1
panGEMic,1
"Paranormal Teens",1
"Kitten Cannon",1
"Into The Unknown",1
"Trick and Treat - Visual Novel",1
"Atom Fishing II",1
"Cosmic Sugar VR",1
REALITY,1
"Alien Swarm: Reactive Drop",1
"Colorful Life",1
"Cinderella Phenomenon - Otome/Visual Novel",1
Nick,1
"Mighty Party",1
"Break Time!",1
"Once Upon an All Hallow's Eve",1
"Power Solitaire VR",1
Sansar,1
Totemori,1
"Learn to Fly 3",1
"Sniper Fury",1
"Chasing Styx",1
Super,1
HERO-E,1
"Rubber Ball VR",1
McOsu,1
iStorm,1
"The Cable Center - Virtual Archive",1
Carrier,1
"Bitcoin VR",1
"Wrecked: Get Your Ship Together",1
RETNE,1
"Doodle God Blitz",1
"Idle Champions of the Forgotten Realms",1
"Sky Clash: Lords of Clans 3D",1
"Runewards: Strategy Card Game",1
"OzGrind Virtual Reality Showroom",1
Ironbound,1
"Might & Mayhem",1
"Mini Guns - Omega Wars",1
Killbox,1
Krieg,1
"Mini Battlegrounds",1
"The IOTA Project",1
"Dragon Lords: 3D Strategy",1
"The Monster Inside",1
MINDNIGHT,1
"The Ultimatest Battle",1
Robin,1
IOSoccer,1
"Secondhand Lands",1
"Symploke: Legend of Gustavo Bueno (Chapter 1)",1
"Poker World - Single Player",1
Purgation,1
"Power War:The First Men",1
Captivus,1
"CINEVR - The Movie Theater",1
DUELEUM,1
"Space Fighter",1
STYLY,1
"Progetto Ustica",1
"Doki Doki Literature Club!",1
"Ghostly Horizon",1
NewTypes,1
"Star Wars: Imperial Assault - Legends of the Alliance",1
"Wuxing Master(CCG)",1
"The Bears And The Bees",1
"Never Split the Party",1
"Mr. Barrel",1
"Urban Rivals",1
"Super Dungeon Master Ace: The Classic Fantasy Adventure RPG",1
Lynne,1
老虎游戏,1
"The Plant",1
"Valor Time",1
pla_toon,1
Emoto,1
"Dances with Butterflies VR",1
Armajet,1
"The Mine",1
Grompula,1
"Combat Arms: Reloaded",1
"Acid Nimbus",1
"Simplex Mundi",1
"Me Smart Orc",1
"MINImax Tinyverse",1
"Heavy Dreams",1
"Modern Combat 5",1
"4X-Galaxy 无主之地：银河",1
NEVERMORE,1
"Puzzle Plunder",1
"Letzte Worte VR",1
"Idle Space Raider",1
Cyberdrome,1
"Food Drive: Race against Hunger",1
"Scamp: High Hat Havoc",1
3Buttons,1
"Lil' Arena",1
"Expedition Oregon",1
"Virtual Villagers Origins 2",1
"PRO EVOLUTION SOCCER 2019 LITE",1
"Grand Strategy",1
"Beat Boxers",1
"Unsung Warriors - Prologue",1
"S.A.I.A.'s Awakening: A Robothorium Visual Novel",1
Plunder,1
"Microsoft Maquette",1
Termite,1
"A Show of Kindness",1
HORSE,1
"Christmas Clicker: Idle Gift Builder",1
"Experience: Colorblindness",1
CGENcore,1
"School Grounds",1
王者战车,1
Bookend,1
"THE DEVIL HAUNTS ME",1
"be you",1
"Jumping Master(跳跳大咖)",1
"Hand of Horzasha",1
"HYPERFIGHT Max Battle",1
"Last Days Motel",1
"旅燕归航 Swallow Homing",1
"Self-Reliance 自我性赖",1
"World War II: TCG",1
Firon,1
"Coloring Game",1
"中华三国志 the Three Kingdoms of China",1
"Romans from Mars (Free-to-Play)",1
"Bug Aviators in Theme Park",1
"Zeta Complex",1
"The Walsingham Files - Chapter 1",1
"Horse Riding Tales",1
KillStreak.tv,1
"Rain's love memory-雨的恋记",1
"League of Pirates",1
"Fatal Velocity: Physics Combat",1
"Crankies Workshop: Freebot Assembly",1
"If Only...",1
"Holyday City: Reloaded",1
"Fly Destroyer",1
"Ultimate Coaster X",1
"Time Killers: Spot Race",1
"Freddy Fazbear's Pizzeria Simulator",1
"Neos VR",1
"Wonky Ship",1
"Banyu Lintar Angin - Little Storm -",1
"Rail Recon",1
"Beat the Blitz",1
"Astrohazard Solutions Ltd.",1
Marius,1
LIV,1
"Mapas do Horizonte - Um jogo para conhecer BH",1
"Struckd - 3D Game Creator",1
"Albion Online",1
"Beavers Be Dammed",1
"War of Conquest",1
紅蜘蛛外伝：暗戦,1
"Welcome to Light Fields",1
"Refight:Burning Engine",1
MEGAMiX,1
"Ready Player One: OASIS beta",1
"The Directed",1
Clawface,1
Roun,1
"Resume: The Video Game",1
ANYKEY,1
"Just, Bearly",1
"Knights of Pen and Paper 2: Free Edition",1
"How To Cope With Boredom and Loneliness",1
"Go Guess",1
"Oracle: Threads of Fate",1
Wrecked,1
"Tesseract VR",1
